,id,text,created_at,hashtags,user_mentions,urls,user_id,user_name,user_location,user_description,user_followers_count,user_friends_count,user_created_at,user_favourites_count,user_statuses_count,user_profile_image_url,user_profile_background_image_url,is_quote_status,retweet_count,favorite_count,query,mentioned_locations,mentioned_organizations,sentiment,emotion,topic_energy,topic_clean_energy,topic_photovoltaics,topic_gas,topic_nuclear,topic_coal,topic_other
0,1314919217133760512,"40% of the world’s #insects including #bees &amp; #butterflies are in danger of #Extinction. If the bees go, they're ta… https://t.co/I4mBsTOSO6",2020-10-10 13:22:26,"insects, bees, butterflies, Extinction",,"[['https://t.co/I4mBsTOSO6', 'https://twitter.com/i/web/status/1314919217133760512']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,48,50,solar energy,[],['#bees &amp'],negative,fear,0,0,0,0,0,0,1
1,1314768223691329536,"Chicago just became the largest city in the United States to commit to go 100% #RenewableEnergy. Who's next?

There… https://t.co/7Lx0Ekifb6",2020-10-10 03:22:26,RenewableEnergy,,"[['https://t.co/7Lx0Ekifb6', 'https://twitter.com/i/web/status/1314768223691329536']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,109,249,solar energy,"['Chicago', 'the United States']",['RenewableEnergy'],negative,joy,0,0,0,0,0,0,1
2,1314710422369579014,"""It would be cheaper to replace nearly 75% of old coal plants with renewable energy sources like solar than to have… https://t.co/16TBTRNbgn",2020-10-09 23:32:45,,,"[['https://t.co/16TBTRNbgn', 'https://twitter.com/i/web/status/1314710422369579014']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,102,160,solar energy,[],[],negative,joy,0,0,0,0,0,0,0
3,1314676611653009408,"Wow! This #solar-powered water farm in Kenya 🇰🇪 produces enough fresh drinking water for 35,000 people every single… https://t.co/ZiwFsCr8XJ",2020-10-09 21:18:24,solar,,"[['https://t.co/ZiwFsCr8XJ', 'https://twitter.com/i/web/status/1314676611653009408']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,126,222,solar energy,['Kenya'],[],positive,joy,0,1,0,0,0,0,0
4,1314592579850252289,"These wind turbines can produce 10 times more power than traditional ones. 

We have the solutions. Let's implement… https://t.co/JuGLUNN1m8",2020-10-09 15:44:29,,,"[['https://t.co/JuGLUNN1m8', 'https://twitter.com/i/web/status/1314592579850252289']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,109,197,solar energy,[],[],negative,joy,1,1,0,0,0,0,0
5,1314559783714918400,"Wait for it. Global temperature from 1861 to 2018. Notice a pattern?

There is no time to wait, there is no planet… https://t.co/GLHy5lcSh8",2020-10-09 13:34:10,,,"[['https://t.co/GLHy5lcSh8', 'https://twitter.com/i/web/status/1314559783714918400']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,214,253,solar energy,[],[],negative,fear,0,0,0,0,0,0,1
6,1314405812102729728,"The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions… https://t.co/S0VOgiph32",2020-10-09 03:22:20,"windpowered, renewable",,"[['https://t.co/S0VOgiph32', 'https://twitter.com/i/web/status/1314405812102729728']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,184,324,solar energy,['Netherlands'],[],positive,joy,0,1,0,0,0,0,0
7,1314347986944774147,This is the largest #solar thermal plant in the world. It produces enough electricity to power one million homes.… https://t.co/35Q896Rd6V,2020-10-08 23:32:34,solar,,"[['https://t.co/35Q896Rd6V', 'https://twitter.com/i/web/status/1314347986944774147']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,214,346,solar energy,[],[],positive,anger,1,0,1,0,0,0,0
8,1314299171810217985,"This warehouse in the Netherlands 🇳🇱 has 13,000 #solar panels. It makes four times the energy it uses.

We have sol… https://t.co/A1vCQuC1vR",2020-10-08 20:18:35,solar,,"[['https://t.co/A1vCQuC1vR', 'https://twitter.com/i/web/status/1314299171810217985']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,79,133,solar energy,['the Netherlands 🇳'],[],negative,joy,1,0,1,0,0,0,0
9,1314230308670263296,"“It’s sometimes annoying when adults say, ‘Oh you children, you young people are the hope. You will save the world.… https://t.co/KTWdY15va0",2020-10-08 15:44:57,,,"[['https://t.co/KTWdY15va0', 'https://twitter.com/i/web/status/1314230308670263296']]",15088481,Mike Hudema,Unceded Squamish Territory,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",130316,39153,2008-06-11 19:56:00,17131,30670,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,http://pbs.twimg.com/profile_images/1128322281904562176/gBcI1tv8_normal.jpg,False,160,314,solar energy,[],[],positive,anger,0,0,0,0,0,0,1
